Obstacle,Real X (cm),Real Y (cm),Digital Twin X (cm),Digital Twin Y (cm),,,,,
West Pole,-2359.98,-3566.57,-2352.01,-3571.62,,,,,
Middle Pole,-1743.10,-3532.00,-1739.50,-3536.55,,,,,
East Pole,-1127.25,-3517.40,-1130.50,-3521.24,,,,,
West Sign,-447.01,-3482.53,-443.45,-3482.42,,,,,
Guardrail West Post,105.59,-3391.84,106.32,-3402.91,,,,,
Guardrail Middle Post,502.76,-3379.44,495.34,-3394.72,,,,,
Guardrail East Post,878.06,-3368.79,890.38,-3377.43,,,,,
Middle Sign,1342.24,-3413.62,1347.13,-3419.99,,,,,
Cable Barrier West Post,1952.54,-3397.21,1949.71,-3398.27,,,,,
Cable Barrier Middle Post,2136.68,-3387.32,2138.66,-3387.56,,,,,
Cable Barrier East Post,2329.12,-3379.01,2329.45,-3379.91,,,,,
East Sign,2861.01,-3391.84,2865.78,-3399.95,,,,,
